timestep,wound_area_pct,margin_cells,wound_edges,cum_T1,cum_seals,cum_divisions
251,62.0922683709989,14,16,19,0,9
252,62.0524157149266,14,16,19,0,9
253,62.0031015697887,14,16,19,0,9
254,61.9628675821557,14,16,19,0,9
255,61.9169047592712,14,16,19,0,9
256,61.8774175197542,14,16,19,0,9
257,61.8307317898266,14,16,19,0,9
258,61.7898719779583,14,16,19,0,9
259,61.7410873064865,14,16,19,0,9
260,61.6251486145498,14,16,19,0,9
261,61.5468923753579,14,16,19,0,9
262,61.4690812003591,14,16,19,0,9
263,61.3911548408812,14,16,19,0,9
264,61.3164438047563,14,16,19,0,9
265,61.2427374358821,14,16,19,0,9
266,61.1706049135721,14,16,20,0,9
267,61.0725285535731,14,16,20,0,9
268,61.032367646768,14,16,20,0,9
269,60.9697020823392,14,16,20,0,9
270,60.9086133818135,14,16,20,0,9
271,60.8473682392692,14,16,20,0,9
272,60.7855625873015,14,16,20,0,9
273,60.7199298588191,14,16,20,0,9
274,60.6543357032224,14,16,20,0,9
275,60.588272852716,14,16,21,0,9
276,60.5467166756603,14,16,21,0,9
277,60.4488626619485,14,16,21,0,9
278,60.3573329859027,14,16,21,0,9
279,60.2770373514789,14,16,21,0,9
280,60.2005802226047,14,16,21,0,9
281,60.1273725222586,14,16,21,0,9
282,60.0536008215305,14,16,21,0,9
283,59.9817631155788,14,16,21,0,9
284,59.9079449162296,14,16,21,0,9
285,59.8364560934829,14,16,21,0,9
286,59.762677591657,14,16,21,0,9
287,59.6912393470022,14,16,21,0,9
288,59.6181027280006,14,16,21,0,9
289,59.5475865579185,14,16,21,0,9
290,59.4745104167236,14,16,21,0,9
291,59.4046142855768,14,16,22,0,9
292,58.9797439268442,14,16,22,0,9
293,59.1430450882632,14,16,22,0,9
294,59.1495914538993,14,16,22,0,10
295,59.1111570143017,14,16,22,0,10
296,58.8294611190846,14,16,22,0,10
297,58.5288935233205,14,16,22,0,10
298,58.3235500460194,14,16,22,0,10
299,58.1860837218942,14,16,22,0,10
300,58.0751999194118,14,16,22,0,10
301,57.982321210117,14,16,22,0,10
302,57.8910623226445,14,16,22,0,10
303,57.8096649867312,14,16,23,0,10
304,57.8454909792457,14,16,23,0,10
305,57.8282679841984,14,16,23,0,10
306,57.6840684006682,14,16,23,0,10
307,57.5510428324215,14,16,23,0,10
308,57.41443759863,14,16,23,0,10
309,57.2848061064675,14,16,24,0,10
310,57.0342414454058,14,16,24,0,10
311,57.0399894255793,14,16,24,0,10
312,56.9362509178523,14,16,24,0,10
313,56.8403085695277,14,16,24,0,10
314,56.711730648118,14,16,24,0,10
315,56.5767396777065,14,16,24,0,10
316,56.436129208525,14,16,24,0,10
317,56.2996719853751,14,16,25,0,10
318,56.039193679716,14,16,26,0,10
319,56.4058960170997,14,16,26,0,10
320,56.1208837322069,14,16,26,0,10
321,55.9761815066506,14,16,26,0,10
322,55.8301487803764,14,16,26,0,10
323,55.6943910472569,14,16,26,0,10
324,55.553522936041,14,16,26,0,10
325,55.4237738680019,14,16,26,0,10
326,55.2888096392873,14,16,26,0,10
327,55.1635499521392,14,16,26,0,10
328,55.0328159024672,14,16,26,0,10
329,54.9106383497088,14,16,26,0,10
330,54.7835675177098,14,16,26,0,10
331,54.6638960022133,14,16,26,0,10
332,54.5399693929967,14,16,26,0,10
333,54.4220026647118,14,16,26,0,10
334,54.3013233817179,14,16,26,0,10
335,54.185764703892,14,16,27,0,10
336,54.449180526256,14,16,27,0,10
337,54.3136048604976,14,16,27,0,10
338,54.1764046566385,14,16,27,0,10
339,54.0506428187227,14,16,27,0,10
340,53.9268783264462,14,16,27,0,10
341,53.8088645205546,14,16,27,0,10
342,53.6898725869836,14,16,27,0,10
343,53.574053296021,14,16,27,0,10
344,53.4572149995282,14,16,27,0,10
345,53.3427333552976,14,16,27,0,10
346,53.2274777186602,14,16,27,0,10
347,53.1140592814494,14,16,27,0,10
348,52.9996277513911,14,16,27,0,10
349,52.8877211870011,14,16,27,0,10
350,52.7750676529135,14,16,27,0,10
351,52.6635135058106,14,16,28,0,10
352,52.5519566736791,14,16,28,0,10
353,52.4411411148422,14,16,28,0,10
354,52.3318257813237,14,16,28,0,10
355,52.2232219414278,14,16,28,0,10
356,52.1145042191806,14,16,28,0,10
357,52.0062571613076,14,16,28,0,10
358,51.8977663348065,14,16,28,0,10
359,51.7893616534487,14,16,28,0,10
360,51.6798965360324,14,16,28,0,10
361,51.5638881593725,14,16,28,0,11
362,51.4481062296003,14,16,28,0,11
363,51.3325839093687,14,16,28,0,11
364,51.2108673304204,14,16,28,0,11
365,51.0852489717111,14,16,28,0,11
366,50.9578269284643,14,16,28,0,11
367,50.8307701302518,14,16,28,0,11
368,50.7025109368684,14,16,28,0,11
369,50.5732081072329,14,16,29,0,11
370,50.44218326096,14,16,29,0,11
371,50.3477685490161,14,16,29,0,11
372,50.1997411137802,14,16,29,0,11
373,50.0507253904588,14,16,29,0,11
374,49.9020960870847,14,16,29,0,11
375,49.7547085182066,14,16,29,0,11
376,49.6084560882558,14,16,29,0,11
377,49.4630653185747,14,16,29,0,11
378,49.3196535070068,14,16,29,0,11
379,49.1770293116638,14,16,30,0,11
380,49.3493888556687,14,16,30,0,11
381,49.2247163664272,14,16,30,0,11
382,49.027405625215,14,16,30,0,11
383,48.8536930874026,14,16,30,0,11
384,48.6815805690192,14,16,30,0,11
385,48.5094900825278,14,16,30,0,11
386,48.3429342941838,14,16,30,0,11
387,48.1747183823444,14,16,30,0,11
388,47.9884731210027,14,16,30,0,11
389,47.7231950591294,14,16,30,0,11
390,47.4676404452935,14,16,30,0,11
391,47.2255447541344,14,16,30,0,11
392,46.983858306324,14,16,30,0,11
393,46.7532613307113,14,16,30,0,11
394,46.5240341917042,14,16,30,0,11
395,46.3027183852743,14,16,30,0,11
396,46.083752695878,14,16,31,0,11
397,46.0914324072657,14,16,31,0,11
398,45.8579375763641,14,16,31,0,11
399,45.6219657709779,14,16,31,0,11
400,45.3940558184685,14,16,31,0,11
401,45.1761305315188,14,16,31,0,11
402,44.9658861041256,14,16,31,0,11
403,44.7630585939368,14,16,31,0,11
404,44.5652866295309,14,16,31,0,11
405,44.372152290693,14,16,31,0,11
406,44.1827781712581,14,16,31,0,11
407,43.996800199857,14,16,31,0,11
408,43.8137382985197,14,16,31,0,11
409,43.6333755741636,14,16,31,0,11
410,43.4554265796436,14,16,31,0,11
411,43.2797434649335,14,16,31,0,11
412,43.1061395204212,14,16,31,0,11
413,42.9345027689767,14,16,31,0,11
414,42.7647003197012,14,16,31,0,11
415,42.5966415653612,14,16,31,0,11
416,42.4299734195926,14,16,31,0,11
417,42.2653752118049,14,16,31,0,11
418,42.1020101483593,14,16,31,0,11
419,41.9400632093023,14,16,31,0,11
420,41.7794649534141,14,16,31,0,11
421,41.6201568418846,14,16,31,0,11
422,41.4620810237374,14,16,31,0,11
423,41.3051867982137,14,16,31,0,11
424,41.1494243262601,14,16,31,0,11
425,40.9947484599056,14,16,31,0,11
426,40.8411150304147,14,16,31,0,11
427,40.6884832150551,14,16,31,0,11
428,40.5368133011271,14,16,31,0,11
429,40.3860681489328,14,16,32,0,11
430,40.2341710454753,14,16,32,0,11
431,40.0677162830227,14,16,32,0,11
432,39.9021325575353,14,16,32,0,11
433,39.7400145993632,14,16,32,0,11
434,39.5781210177454,14,16,32,0,11
435,39.4173491565988,14,16,32,0,11
436,39.2575591082514,14,16,32,0,11
437,39.0986197772018,14,16,32,0,11
438,38.9405295051919,14,16,32,0,11
439,38.7832554687665,14,16,32,0,11
440,38.6268024330008,14,16,32,0,11
441,38.4711389966227,14,16,32,0,11
442,38.3162538431604,14,16,32,0,11
443,38.1621125567725,14,16,32,0,11
444,38.0086958148205,14,16,32,0,11
445,37.8559705732783,14,16,32,0,11
446,37.7039154898133,14,16,32,0,11
447,37.5525008683716,14,16,32,0,11
448,37.401705900464,14,16,32,0,11
449,37.251504462606,14,16,32,0,11
450,37.1018770868648,14,16,32,0,11
451,36.952800772238,14,16,32,0,11
452,36.8042574697603,14,16,32,0,11
453,36.6562002016002,14,16,32,0,11
454,36.5086915526814,14,16,32,0,11
455,36.3616334571391,14,16,32,0,11
456,36.2150353814307,14,16,32,0,11
457,36.0688780324207,14,16,32,0,11
458,35.9231451652824,14,16,32,0,11
459,35.7778199820664,14,16,32,0,11
460,35.6328870140098,14,16,32,0,11
461,35.488328867417,14,16,33,0,11
462,34.9432990419563,14,16,33,0,11
463,35.203356276387,14,16,33,0,11
464,34.9672210843258,14,16,33,0,11
465,34.856604821363,14,16,33,0,11
466,34.6839533422828,14,16,33,0,11
467,34.5584191103453,14,16,33,0,11
468,34.3926909314541,14,16,33,0,11
469,34.2636357939855,14,16,33,0,11
470,34.1026040295976,14,16,33,0,11
471,33.9713251245311,14,16,33,0,11
472,33.8139368111371,14,16,33,0,11
473,33.6810617718741,14,16,33,0,11
474,33.5265015222584,14,16,33,0,11
475,33.3924749926218,14,16,33,0,11
476,33.2401074196505,14,16,33,0,11
477,33.1052899854537,14,16,33,0,11
478,32.9545891525523,14,16,33,0,11
479,32.8193393253734,14,16,34,0,11
480,33.1062565571659,14,16,34,0,11
481,33.1707316283608,14,16,34,0,11
482,32.7285329715045,14,16,34,0,11
483,32.6636925477444,14,16,34,0,11
484,32.4414022779057,14,16,34,0,11
485,32.312012499999,14,16,34,0,11
486,32.1487221899085,14,16,34,0,11
487,32.0068965970528,14,16,34,0,11
488,31.8571494666514,14,16,34,0,11
489,31.7076440265837,14,16,34,0,11
490,31.5553365005609,14,16,34,0,11
491,31.4108152492833,14,16,34,0,11
492,31.2644611402504,14,16,34,0,11
493,31.1200580219474,14,16,34,0,11
494,30.9753708315495,14,16,34,0,11
495,30.8314438243596,14,16,34,0,11
